======================================================================
오분류 검증 결과 (GPT-5.4) — 41건
소요 시간: 9.4s
======================================================================
  GT가 맞다고 판단: 26건 (원래 rank 유지)
  Pred가 맞다고 판단: 15건
    ├─ pred ∉ 2_code → 맞은 것: 1건 (→ Recall@1로 반영)
    └─ pred ∈ 2_code → 틀린 것: 14건 (원래 rank 유지)
======================================================================
재계산된 Recall (총 86건, 원 Recall@1 베이스라인 45건)
       질문: 매장 내부 네온사인이나 실내 전광판 설치하는 일도 하고, 건물 외벽 대형 간판이나 야외 광고판 제작·설치하는 일도 해요.

  # 53 [top3] GT=74301(용접원(건설)/E) Pred=74302(용접원(선박)/D) → Pred (∈2_code → 틀림)
       2_code: 74301, 74302
       질문: 건설 현장에서 철골 구조물 용접하다가, 조선소 가서 선박 선체 취부랑 용접도 하고 있어요.

  # 54 [top2] GT=75101(자동차 경정비원(튜닝포함)/C) Pred=75102(자동차 정기검사원/B) → GT
       2_code: 75101, 75102
       질문: 평소엔 엔진오일 교환이나 타이어 수리, 튜닝 작업 같은 정비 일을 하고, 따로 검사 장비로 차량 안전도랑 배출가스 검사도 해요.

  # 55 [top3] GT=75331(크레인 설치 및 정비원(일반)/E) Pred=77493(삭구원/E) → Pred (∉2_code → 맞음)
       2_code: 75331, 75339
       질문: 건설 현장에서 타워크레인 설치하고 정비하는 일도 하면서, 리프트나 케이블카 같은 장비 점검·수리하는 일도 해요.

  # 57 [top2] GT=77293(건물 해체원/E) Pred=77299(그 외 건설관련 기능 종사원/D) → GT
       2_code: 77293, 77299
       질문: 공기압축해머로 건물 부수고 쓸 만한 자재 골라내는 일도 하면서, 정화조나 방음벽 설치하는 일도 해요.

  # 58 [top2] GT=77369(그 외 도장공/E) Pred=77361(건물 도장공/E) → GT
       2_code: 77362, 77369
       질문: 선박 선체에 방청 도료 뿌리는 일도 하고, 교량이나 철골 구조물에 도장하는 일도 해요.

  # 62 [top2] GT=79919(그 외 배관 세정원/E) Pred=79913(방역원/C) → Pred (∈2_code → 틀림)
       2_code: 79913, 79919
       질문: 아파트 물탱크 내부 청소·세척하는 일도 하고, 건물이나 주택가에 해충 방제 약품 배합해서 분무하는 일도 해요.

  # 63 [top3] GT=83219(그외 화학제품 생산기 조작원/D) Pred=83213(세제 생산기 조작원/C) → GT
       2_code: 83213, 83219
       질문: 분말세제 원료 혼합기 돌리는 일도 하고, 양초 주형기 조작하는 일도 해요.

  # 66 [top2] GT=85108(금속절곡기 조작원/D) Pred=84170(판금기 조작원/D) → GT
       2_code: 85102, 85108
       질문: 낮에는 엔진선반으로 금속 부품 깎는 일 하고, 밤에는 NC절곡기로 금속판 구부리는 작업도 해요.

  # 68 [miss] GT=87319(오토바이(이․삼륜차)운전자(이륜차부담보특약적용)/C) Pred=87310(자가용승용차운전자/B) → Pred (∈2_code → 틀림)
       2_code: 87310, 87319
       질문: 평일엔 회사 임원분 모시고 승용차 운전하고, 주말엔 개인 오토바이 타고 다니는 일도 해요.

  # 72 [miss] GT=87399(그 외 자동차 운전원/E) Pred=92221(택배원(차량운전)/C) → GT
       2_code: 87394, 87399
       질문: 낮에는 완성차 탁송이나 선적장까지 차량 이동하는 일 하고, 밤에는 술 드신 분들 차 직접 몰아서 집까지 데려다 드리는 일 해요.

  # 74 [top2] GT=87601(선박 갑판승무원/E) Pred=87604(등대원/C) → Pred (∈2_code → 틀림)
       2_code: 87601, 87604
       질문: 배에서 조타 업무도 하고, 등대에서 경보등이랑 신호 장치 관리하는 일도 해요.

  # 76 [top2] GT=93002(수동 상표부착원/C) Pred=93009(그 외 제조관련 단순종사원/B) → Pred (∈2_code → 틀림)
       2_code: 93002, 93009
       질문: 제품에 손으로 라벨 붙이는 일도 하고, 부품 단순 조립이나 세척 같은 잡다한 공정 일도 해요.

  # 78 [top4] GT=92229(그 외 택배원(퀵 포함, 이․삼륜차 운전)/E) Pred=92228(그 외 택배원(퀵 포함, 이․삼륜차 운전)(이륜차부담보특약적용)/C) → Pred (∈2_code → 틀림)
       2_code: 92228, 92229
       질문: 오토바이로 택배랑 음식 배달 다 하는데, 하나는 이륜차 부담보 특약 적용되는 계약이고 다른 하나는 특약 없이 그냥 일반 계약으로 하고 있어요.

  # 81 [top3] GT=95392(전단지 배포원 및 벽보원/C) Pred=99999(그 외 서비스관련 단순 종사원/C) → GT
       2_code: 95392, 95393
       질문: 오전에는 지하철역 출구에서 전단지 나눠주고 포스터 붙이는 일 하고, 오후엔 수영장 탈의실에서 락커 키 나눠주고 물품 정리하는 일도 해요.

  # 82 [top2] GT=94211(경비원/D) Pred=94213(건물 관리인/C) → GT
       2_code: 94211, 94213
       질문: 낮에는 건물 내외부 돌아다니면서 수상한 사람 없나 순찰하고 출입자 점검하는 일 하고, 밤에는 방문자 응대하면서 배달물 대신 받아주고 거주자들한테 필요한 정보 안내해주는 일도 해요.

  # 84 [miss] GT=99999a(신용조사업 종사자/C) Pred=99992(대여 제품 방문 점검원/B) → Pred (∈2_code → 틀림)
       2_code: 99992, 99999a
       질문: 낮에는 가정이나 사무실 돌아다니면서 정수기 필터 교체하고 청소하는 일 하고, 틈틈이 의뢰 들어오면 개인이나 업체 자산이랑 금융 신용 상태 조사해서 의뢰인한테 보고해주는 일도 해요.

  # 85 [top2] GT=A1121(예비군중대장/B) Pred=1124((없음)/-) → GT
       2_code: A1121, A1124
       질문: 예비군 중대 훈련 지휘하는 일도 하면서, 군 부대에서 행정 서류 처리하고 인사 관리 같은 행정 업무도 담당하고 있어요.

